document path,document ID,activity,app name,id,interaction active notifications,interaction time,location,notification content,notification title,posted active notifications,posted time,reason number,created time,updated time
projects/activitycollector/databases/(default)/documents/notifications/0AeFvpQ5RDJtwgweAcOS,0AeFvpQ5RDJtwgweAcOS,"{""activity"":""NOT_DETECTED""}",com.whatsapp,"0|com.whatsapp|1|Lv0fKbA8pdbvlISllWPHcwA1qYt4B6X4muMJhx//fh4=
|103301733080721636",28,"{""normalized"":0.596550925925926,""epoch_time"":1733080742460,""day"":7}","{""readable"":""HOME"",""long"":-73.1101331,""lat"":40.9065327}","Hello everyone,

Your voice matters! 🗣️

Please take a moment to fill out the GSO Member Feedback and Participation Survey: https://forms.gle/cfWgxAFNN1KLNZJL7.

This is your opportunity to share your thoughts, experiences, and suggestions. Your feedback is the only way for us to truly understand your concerns, represent them effectively, and prioritize the changes that matter most to you.

The insights you provide will help us enhance our events, services, and overall support for the graduate community at SBU. Together, we can make a difference!

Thank you in advance for your valuable input. 🙌

Survey Link: https://forms.gle/cfWgxAFNN1KLNZJL7

Best regards,
GSO",Stony Brook SUNY (2 messages): ~ NA,32,"{""normalized"":0.5963078703703704,""epoch_time"":1733080721636,""day"":7}",12,12/01/2024 14:18,12/01/2024 14:19
projects/activitycollector/databases/(default)/documents/notifications/0BlKuyIN11xOtNktvWg7,0BlKuyIN11xOtNktvWg7,"{""activity"":""NOT_DETECTED""}",com.whatsapp,"0|com.whatsapp|1|rG/eeeHA9Hn1HLbSmtjPi3+89k+wc59UT36v/tkRMAc=
|103301733001412282",16,"{""normalized"":0.6803356481481482,""epoch_time"":1733001581357,""day"":6}","{""readable"":""HOME"",""long"":-73.1100635,""lat"":40.9066154}",like really good hahaha,Lavanya,20,"{""normalized"":0.6783796296296296,""epoch_time"":1733001412282,""day"":6}",12,11/30/2024 16:16,11/30/2024 16:19
projects/activitycollector/databases/(default)/documents/notifications/0BwnWigL1CjPiulHT1cp,0BwnWigL1CjPiulHT1cp,"{""activity"":""NOT_DETECTED""}",com.whatsapp,"0|com.whatsapp|1|Lv0fKbA8pdbvlISllWPHcwA1qYt4B6X4muMJhx//fh4=
|103301733034876640",20,"{""normalized"":0.11380787037037036,""epoch_time"":1733039033731,""day"":7}","{""readable"":""HOME"",""long"":-73.1101655,""lat"":40.906564}",,Stony Brook SUNY: ~ NA,26,"{""normalized"":0.06569444444444444,""epoch_time"":1733034876640,""day"":7}",12,12/01/2024 01:34,12/01/2024 02:43
projects/activitycollector/databases/(default)/documents/notifications/0CmJVDDaxuR4nU6ZYMmi,0CmJVDDaxuR4nU6ZYMmi,"{""activity"":""NOT_DETECTED""}",com.whatsapp,"0|com.whatsapp|1|Zh1ozrTVXTqQ47535XiDJ80QsHMDGR3c0uFj5yQlFYI=
|103301732946244850",13,"{""normalized"":0.0403125,""epoch_time"":1732946283960,""day"":6}","{""readable"":""LIBRARY"",""long"":-73.1164114,""lat"":40.9092128}","Strands #272
“Yas Queen!”
🔵🔵🔵🔵
🟡🔵🔵🔵",SBU Summer (5 messages): Gaurav SBU,19,"{""normalized"":0.03986111111111111,""epoch_time"":1732946244850,""day"":6}",12,11/30/2024 00:57,11/30/2024 00:58
projects/activitycollector/databases/(default)/documents/notifications/0GUm3BrYkUJNzvmqBMco,0GUm3BrYkUJNzvmqBMco,,com.whatsapp,"0|com.whatsapp|1|Lv0fKbA8pdbvlISllWPHcwA1qYt4B6X4muMJhx//fh4=
|103301733025240564",,,,,Stony Brook SUNY: ~ NA,23,"{""normalized"":0.9541666666666667,""epoch_time"":1733025240564,""day"":6}",,11/30/2024 22:54,11/30/2024 22:54
projects/activitycollector/databases/(default)/documents/notifications/0Ha8oKdnPptvkmS9Z2Jk,0Ha8oKdnPptvkmS9Z2Jk,"{""activity"":""NOT_DETECTED""}",com.whatsapp,"0|com.whatsapp|1|Lv0fKbA8pdbvlISllWPHcwA1qYt4B6X4muMJhx//fh4=
|103301733006047027",18,"{""normalized"":0.7320601851851852,""epoch_time"":1733006050390,""day"":6}","{""readable"":""UNKNOWN"",""long"":-73.08904,""lat"":40.9139469}",,Stony Brook SUNY: ~ NA,23,"{""normalized"":0.732025462962963,""epoch_time"":1733006047027,""day"":6}",12,11/30/2024 17:34,11/30/2024 17:34
projects/activitycollector/databases/(default)/documents/notifications/0Hg9dEmf8MY605cSGA6I,0Hg9dEmf8MY605cSGA6I,,com.whatsapp,"0|com.whatsapp|1|8NdTzvpte425WtFlMVsjRRl2n15NsIuu8bU5onvotbU=
|103301733032256454",,,,I love you,Kaksha,26,"{""normalized"":0.03537037037037037,""epoch_time"":1733032256454,""day"":7}",,12/01/2024 00:50,12/01/2024 00:50
projects/activitycollector/databases/(default)/documents/notifications/0JQOJx1N9lCMIKFLKT6g,0JQOJx1N9lCMIKFLKT6g,"{""activity"":""NOT_DETECTED""}",com.whatsapp,"0|com.whatsapp|1|Zh1ozrTVXTqQ47535XiDJ80QsHMDGR3c0uFj5yQlFYI=
|103301732799360831",9,"{""normalized"":0.5237847222222223,""epoch_time"":1732815255848,""day"":4}","{""readable"":""HOME"",""long"":-73.1101663,""lat"":40.906528}","Wordle 1,258 4/6

🟨🟨⬛⬛⬛
🟩🟩🟩⬛⬛
🟩🟩🟩🟩⬛
🟩🟩🟩🟩🟩",SBU Summer: ~ Chahat Kalsi,9,"{""normalized"":0.3398148148148148,""epoch_time"":1732799360831,""day"":4}",12,11/28/2024 08:09,11/28/2024 12:34
projects/activitycollector/databases/(default)/documents/notifications/0PQ5V8nabak5r97cFJEL,0PQ5V8nabak5r97cFJEL,,com.google.android.gm,0|com.google.android.gm|-345575847|gig:743423040:^sq_ig_i_personal|102761732827554498,,,,,DoorDash Order,12,"{""normalized"":0.6661342592592593,""epoch_time"":1732827554498,""day"":4}",,11/28/2024 15:59,11/28/2024 15:59
projects/activitycollector/databases/(default)/documents/notifications/0SQ2SiI8rkwvJHbvhzgR,0SQ2SiI8rkwvJHbvhzgR,"{""activity"":""NOT_DETECTED""}",com.whatsapp,"0|com.whatsapp|1|ioeHuX3mTFHAs+PLgZkdOIg8gL2zy9ddTOcEbze4nQk=
|103301732923410060",4,"{""normalized"":0.775775462962963,""epoch_time"":1732923427415,""day"":5}","{""readable"":""HOME"",""long"":-73.1101037,""lat"":40.9065248}",Check and tell me fast,Fake G1103 (2 messages): Maharshi Uprit SBU,7,"{""normalized"":0.7755787037037037,""epoch_time"":1732923410060,""day"":5}",12,11/29/2024 18:36,11/29/2024 18:37
projects/activitycollector/databases/(default)/documents/notifications/0SRB46yDSbD0xLl0X3PN,0SRB46yDSbD0xLl0X3PN,,com.whatsapp,"0|com.whatsapp|1|9JTBV3u0+yGNIxS2EUTrlNoyXR7eUpc6fv60X43DkLU=
|103301733007803139",,,,Hmm,Mihir SBU,21,"{""normalized"":0.752349537037037,""epoch_time"":1733007803139,""day"":6}",,11/30/2024 18:03,11/30/2024 18:03
projects/activitycollector/databases/(default)/documents/notifications/0TbqLwdKeyOwg0tLB1x5,0TbqLwdKeyOwg0tLB1x5,"{""activity"":""NOT_DETECTED""}",com.whatsapp,"0|com.whatsapp|1|1FYPaSIKbRGo3es8aDHCj/qbEGhWA5czZiWg26AOuvM=
|103301732903176918",11,"{""normalized"":0.5483796296296296,""epoch_time"":1732903780675,""day"":5}","{""readable"":""HOME"",""long"":-73.1101295,""lat"":40.9065646}",Anyone has honey?,Chapin Bazaar 2 (4 messages): Abhishek SBU,15,"{""normalized"":0.5413888888888889,""epoch_time"":1732903176918,""day"":5}",12,11/29/2024 12:59,11/29/2024 13:09
projects/activitycollector/databases/(default)/documents/notifications/0Tga4OQUyy94cbmpDfkn,0Tga4OQUyy94cbmpDfkn,,com.google.android.gm,0|com.google.android.gm|1625953256|gig:743423040:^sq_ig_i_personal|102761732827985498,,,,,Steam Support,19,"{""normalized"":0.6711226851851851,""epoch_time"":1732827985498,""day"":4}",,11/28/2024 16:06,11/28/2024 16:06
projects/activitycollector/databases/(default)/documents/notifications/0UioP6yPCaBGtwH303UK,0UioP6yPCaBGtwH303UK,"{""activity"":""NOT_DETECTED""}",com.whatsapp,"0|com.whatsapp|1|KGdHQNgfIZil8OrU9uDZWqaDPWJA/JuHxNdzcj/Bb44=
|103301732841339447",18,"{""normalized"":0.8269328703703703,""epoch_time"":1732841447868,""day"":4}","{""readable"":""HOME"",""long"":-73.1101203,""lat"":40.9065621}",Thank you dear😘,Kaksha Mom,22,"{""normalized"":0.8256828703703704,""epoch_time"":1732841339447,""day"":4}",12,11/28/2024 19:48,11/28/2024 19:50
projects/activitycollector/databases/(default)/documents/notifications/0aXx8U2LyOna4iWsZ1Sb,0aXx8U2LyOna4iWsZ1Sb,,com.whatsapp,"0|com.whatsapp|1|8NdTzvpte425WtFlMVsjRRl2n15NsIuu8bU5onvotbU=
|103301733029273153",,,,Sick,Kaksha,26,"{""normalized"":0.0008449074074074074,""epoch_time"":1733029273153,""day"":7}",,12/01/2024 00:01,12/01/2024 00:01
projects/activitycollector/databases/(default)/documents/notifications/0cBqpj9dMnQMMSsFn8Ng,0cBqpj9dMnQMMSsFn8Ng,,com.whatsapp,"0|com.whatsapp|1|1FYPaSIKbRGo3es8aDHCj/qbEGhWA5czZiWg26AOuvM=
|103301732899486110",,,,Anyone selling cycle or bike?,Chapin Bazaar 2 (3 messages): ~ Prajwal,11,"{""normalized"":0.49868055555555557,""epoch_time"":1732899486110,""day"":5}",,11/29/2024 11:58,11/29/2024 11:58
projects/activitycollector/databases/(default)/documents/notifications/0cjh9d6i0WuSB4mjPLuZ,0cjh9d6i0WuSB4mjPLuZ,"{""activity"":""NOT_DETECTED""}",com.whatsapp,"0|com.whatsapp|1|1FYPaSIKbRGo3es8aDHCj/qbEGhWA5czZiWg26AOuvM=
|103301732938631981",14,"{""normalized"":0.9634722222222222,""epoch_time"":1732939644845,""day"":5}","{""readable"":""HOME"",""long"":-73.1101629,""lat"":40.9065569}","📷 Hamiltom Beach Quiet Blender. 12 blending functions. Top got cracked, so only the bottom is available (new condition). DM for price.",Chapin Bazaar 2: ~ Manav Ukani,20,"{""normalized"":0.9517476851851852,""epoch_time"":1732938631981,""day"":5}",12,11/29/2024 22:50,11/29/2024 23:07
projects/activitycollector/databases/(default)/documents/notifications/0eFaFELPxL7reeLgxuZj,0eFaFELPxL7reeLgxuZj,"{""activity"":""NOT_DETECTED""}",com.whatsapp,"0|com.whatsapp|1|8NdTzvpte425WtFlMVsjRRl2n15NsIuu8bU5onvotbU=
|103301732995457400",15,"{""normalized"":0.6095138888888889,""epoch_time"":1732995462301,""day"":6}","{""readable"":""HOME"",""long"":-73.1101021,""lat"":40.9065956}",This is my favorite,Kaksha,22,"{""normalized"":0.6094560185185185,""epoch_time"":1732995457400,""day"":6}",12,11/30/2024 14:37,11/30/2024 14:37
projects/activitycollector/databases/(default)/documents/notifications/0fkJUBgBmTlCDGPZnlXY,0fkJUBgBmTlCDGPZnlXY,"{""activity"":""NOT_DETECTED""}",com.whatsapp,"0|com.whatsapp|1|Lv0fKbA8pdbvlISllWPHcwA1qYt4B6X4muMJhx//fh4=
|103301733017062517",17,"{""normalized"":0.8750462962962963,""epoch_time"":1733018404801,""day"":6}","{""readable"":""UNKNOWN"",""long"":-73.1093273,""lat"":40.9071726}",,Stony Brook SUNY: ~ NA,22,"{""normalized"":0.8595138888888889,""epoch_time"":1733017062517,""day"":6}",12,11/30/2024 20:37,11/30/2024 21:00
projects/activitycollector/databases/(default)/documents/notifications/0g6dXNOoxkDhpg4BDlIv,0g6dXNOoxkDhpg4BDlIv,"{""activity"":""NOT_DETECTED""}",com.whatsapp,"0|com.whatsapp|1|1FYPaSIKbRGo3es8aDHCj/qbEGhWA5czZiWg26AOuvM=
|103301733081854791",30,"{""normalized"":0.6167824074074074,""epoch_time"":1733082490009,""day"":7}","{""readable"":""HOME"",""long"":-73.1101242,""lat"":40.9066341}",📷 Photo,Chapin Bazaar 2 (3 messages): ~ Sanket,36,"{""normalized"":0.6094212962962963,""epoch_time"":1733081854791,""day"":7}",12,12/01/2024 14:37,12/01/2024 14:48
projects/activitycollector/databases/(default)/documents/notifications/0h2B3Fp6nFdLamFjFE3L,0h2B3Fp6nFdLamFjFE3L,"{""activity"":""NOT_DETECTED""}",com.google.android.gm,0|com.google.android.gm|0|gig:743423040:^sq_ig_i_personal|102761733022370431,18,"{""normalized"":0.9314351851851852,""epoch_time"":1733023276902,""day"":6}","{""readable"":""HOME"",""long"":-73.1101532,""lat"":40.9065868}",,Zelle,27,"{""normalized"":0.9209490740740741,""epoch_time"":1733022370431,""day"":6}",8,11/30/2024 22:06,11/30/2024 22:21
projects/activitycollector/databases/(default)/documents/notifications/0s7SGkK9wpTL5POPXZ13,0s7SGkK9wpTL5POPXZ13,"{""activity"":""NOT_DETECTED""}",com.whatsapp,"0|com.whatsapp|1|LBPUKhh+tse7R4wiNkpNHfRqL0ah01J4ncG7XmLMANg=
|103301732992618587",18,"{""normalized"":0.5766087962962962,""epoch_time"":1732992619691,""day"":6}","{""readable"":""UNKNOWN"",""long"":-73.1037946,""lat"":40.9118678}","Anyone looking for graduation photoshoot, please DM for price and other details.",General Chat Group (5 messages): ~ Div,24,"{""normalized"":0.5765972222222222,""epoch_time"":1732992618587,""day"":6}",12,11/30/2024 13:50,11/30/2024 13:50
projects/activitycollector/databases/(default)/documents/notifications/0tqpuQU8yIc8ESMwoSzA,0tqpuQU8yIc8ESMwoSzA,"{""activity"":""NOT_DETECTED""}",com.whatsapp,"0|com.whatsapp|1|LBPUKhh+tse7R4wiNkpNHfRqL0ah01J4ncG7XmLMANg=
|103301732844356240",18,"{""normalized"":0.8835879629629629,""epoch_time"":1732846342164,""day"":4}","{""readable"":""HOME"",""long"":-73.1102416,""lat"":40.9065385}","📷 Found this Umbrella in Chapin Bus stop 2 days back

Dm if it is yours",General Chat Group: ~ Dot com,22,"{""normalized"":0.8606018518518519,""epoch_time"":1732844356240,""day"":4}",12,11/28/2024 20:39,11/28/2024 21:12
projects/activitycollector/databases/(default)/documents/notifications/10BETZ22LvVwftjgPDcG,10BETZ22LvVwftjgPDcG,"{""activity"":""NOT_DETECTED""}",com.whatsapp,"0|com.whatsapp|1|Zh1ozrTVXTqQ47535XiDJ80QsHMDGR3c0uFj5yQlFYI=
|103301732816773821",5,"{""normalized"":0.5419791666666667,""epoch_time"":1732816827280,""day"":4}","{""readable"":""HOME"",""long"":-73.1101663,""lat"":40.906528}","Wordle 1,258 4/6

🟨🟨⬛⬛⬛
🟩🟩🟩⬛⬛
🟩🟩🟩🟩⬛
🟩🟩🟩🟩🟩",SBU Summer: ~ Chahat Kalsi,9,"{""normalized"":0.5413541666666667,""epoch_time"":1732816773821,""day"":4}",12,11/28/2024 12:59,11/28/2024 13:00
projects/activitycollector/databases/(default)/documents/notifications/115HpmWcgtOvnVzLOat0,115HpmWcgtOvnVzLOat0,,com.google.android.gm,0|com.google.android.gm|-270061397|gig:743423040:^sq_ig_i_personal|102761732827978652,,,,,DoorDash Order,17,"{""normalized"":0.6710416666666666,""epoch_time"":1732827978652,""day"":4}",,11/28/2024 16:06,11/28/2024 16:06
projects/activitycollector/databases/(default)/documents/notifications/17EBseGDAohiXWlu5iMO,17EBseGDAohiXWlu5iMO,,com.whatsapp,"0|com.whatsapp|1|1FYPaSIKbRGo3es8aDHCj/qbEGhWA5czZiWg26AOuvM=
|103301733017250733",,,,Sold,Chapin Bazaar 2 (5 messages): ~ Harshil Sanghvi,24,"{""normalized"":0.8616898148148148,""epoch_time"":1733017250733,""day"":6}",,11/30/2024 20:40,11/30/2024 20:40
projects/activitycollector/databases/(default)/documents/notifications/1NlPD1XdTWEusDT6MJYF,1NlPD1XdTWEusDT6MJYF,"{""activity"":""NOT_DETECTED""}",com.whatsapp,"0|com.whatsapp|1|6oopRIu2ypLM5FXgaKYJpWgytRXx9My0HDf51lO0p50=
|103301733023249862",20,"{""normalized"":0.9312384259259259,""epoch_time"":1733023259685,""day"":6}","{""readable"":""HOME"",""long"":-73.1101532,""lat"":40.9065868}",Sold,Chapin Bazaar (8 messages): ~ Harshil Sanghvi,27,"{""normalized"":0.9311226851851852,""epoch_time"":1733023249862,""day"":6}",12,11/30/2024 22:20,11/30/2024 22:21
projects/activitycollector/databases/(default)/documents/notifications/1URoapoQjvYrgxeKMsqI,1URoapoQjvYrgxeKMsqI,,com.google.android.gm,0|com.google.android.gm|0|gig:743423040:^sq_ig_i_personal|102761732824906017,,,,,DoorDash,9,"{""normalized"":0.6354861111111111,""epoch_time"":1732824906017,""day"":4}",,11/28/2024 15:15,11/28/2024 15:15
projects/activitycollector/databases/(default)/documents/notifications/1dWxJlhJtYUrl8EypyIp,1dWxJlhJtYUrl8EypyIp,"{""activity"":""NOT_DETECTED""}",com.whatsapp,"0|com.whatsapp|1|8NdTzvpte425WtFlMVsjRRl2n15NsIuu8bU5onvotbU=
|103301732848525062",19,"{""normalized"":0.9144675925925926,""epoch_time"":1732849010719,""day"":4}","{""readable"":""HOME"",""long"":-73.1101236,""lat"":40.9065611}",Where are you,Kaksha,23,"{""normalized"":0.9088541666666666,""epoch_time"":1732848525062,""day"":4}",12,11/28/2024 21:48,11/28/2024 21:56
projects/activitycollector/databases/(default)/documents/notifications/1euP7AuEjalVp4tfwqjm,1euP7AuEjalVp4tfwqjm,,com.whatsapp,"0|com.whatsapp|1|1FYPaSIKbRGo3es8aDHCj/qbEGhWA5czZiWg26AOuvM=
|103301733030418388",,,,Anyone ordering from aldi?,Chapin Bazaar 2: ~ Bandham,28,"{""normalized"":0.014097222222222223,""epoch_time"":1733030418388,""day"":7}",,12/01/2024 00:20,12/01/2024 00:20
projects/activitycollector/databases/(default)/documents/notifications/1iWa1nffHuLxXvcATcLw,1iWa1nffHuLxXvcATcLw,,com.whatsapp,"0|com.whatsapp|1|iGSZkeUn50ShdBWP2zVowKIxkguMyjowLFKV5yO9tWw=
|103301732914402745",,,,Do me a solid though,Advait,6,"{""normalized"":0.6713194444444445,""epoch_time"":1732914402745,""day"":5}",,11/29/2024 16:06,11/29/2024 16:06
projects/activitycollector/databases/(default)/documents/notifications/1sQ8WHVtd87XzglTqxgA,1sQ8WHVtd87XzglTqxgA,"{""activity"":""NOT_DETECTED""}",com.google.android.gm,0|com.google.android.gm|0|gig:1371406741:CLASSIC_INBOX_ALL_MAIL|102761732782151555,3,"{""normalized"":0.14126157407407408,""epoch_time"":1732782205650,""day"":4}","{""readable"":""HOME"",""long"":-73.1101558,""lat"":40.90656}",,Saumitra Bose,5,"{""normalized"":0.14063657407407407,""epoch_time"":1732782151555,""day"":4}",24,11/28/2024 03:22,11/28/2024 03:23
projects/activitycollector/databases/(default)/documents/notifications/1ujAcYQhJol55WiOnkdX,1ujAcYQhJol55WiOnkdX,"{""activity"":""NOT_DETECTED""}",com.whatsapp,"0|com.whatsapp|1|ioeHuX3mTFHAs+PLgZkdOIg8gL2zy9ddTOcEbze4nQk=
|103301732810186310",9,"{""normalized"":0.5237847222222223,""epoch_time"":1732815255852,""day"":4}","{""readable"":""HOME"",""long"":-73.1101663,""lat"":40.906528}",Happy Thanksgiving!,Fake G1103 (5 messages): Omkar Rajwade SBU,16,"{""normalized"":0.46511574074074075,""epoch_time"":1732810186310,""day"":4}",12,11/28/2024 11:09,11/28/2024 12:34
projects/activitycollector/databases/(default)/documents/notifications/1v4qeecm4v5WiY9u4WiX,1v4qeecm4v5WiY9u4WiX,"{""activity"":""NOT_DETECTED""}",com.whatsapp,"0|com.whatsapp|1|LBPUKhh+tse7R4wiNkpNHfRqL0ah01J4ncG7XmLMANg=
|103301732940704844",15,"{""normalized"":0.9767939814814814,""epoch_time"":1732940795022,""day"":5}","{""readable"":""HOME"",""long"":-73.1100344,""lat"":40.90658}","Anyone looking for graduation photoshoot, please DM for price and other details.",General Chat Group (5 messages): ~ Div,20,"{""normalized"":0.9757407407407407,""epoch_time"":1732940704844,""day"":5}",12,11/29/2024 23:25,11/29/2024 23:26
projects/activitycollector/databases/(default)/documents/notifications/1vwsJhpT58tgW6uAzhNr,1vwsJhpT58tgW6uAzhNr,"{""activity"":""NOT_DETECTED""}",com.whatsapp,"0|com.whatsapp|1|LBPUKhh+tse7R4wiNkpNHfRqL0ah01J4ncG7XmLMANg=
|103301732946314830",13,"{""normalized"":0.042152777777777775,""epoch_time"":1732946442249,""day"":6}","{""readable"":""LIBRARY"",""long"":-73.1164114,""lat"":40.9092128}","Anyone looking for graduation photoshoot, please DM for price and other details.",General Chat Group (5 messages): ~ Div,16,"{""normalized"":0.040671296296296296,""epoch_time"":1732946314830,""day"":6}",12,11/30/2024 00:58,11/30/2024 01:00
projects/activitycollector/databases/(default)/documents/notifications/1zNHurI373oo1IRnQCZX,1zNHurI373oo1IRnQCZX,,com.whatsapp,"0|com.whatsapp|1|LBPUKhh+tse7R4wiNkpNHfRqL0ah01J4ncG7XmLMANg=
|103301732848525015",,,,"📷 Found this Umbrella in Chapin Bus stop 2 days back

Dm if it is yours",General Chat Group: ~ Dot com,22,"{""normalized"":0.9088541666666666,""epoch_time"":1732848525015,""day"":4}",,11/28/2024 21:48,11/28/2024 21:48
projects/activitycollector/databases/(default)/documents/notifications/209NqocWIypwMGxJkvFs,209NqocWIypwMGxJkvFs,"{""activity"":""NOT_DETECTED""}",com.whatsapp,"0|com.whatsapp|1|1FYPaSIKbRGo3es8aDHCj/qbEGhWA5czZiWg26AOuvM=
|103301733020684259",18,"{""normalized"":0.9014930555555556,""epoch_time"":1733020689763,""day"":6}","{""readable"":""HOME"",""long"":-73.1101428,""lat"":40.9065973}",Sold,Chapin Bazaar 2 (8 messages): ~ Harshil Sanghvi,25,"{""normalized"":0.9014351851851852,""epoch_time"":1733020684259,""day"":6}",12,11/30/2024 21:38,11/30/2024 21:38
projects/activitycollector/databases/(default)/documents/notifications/2EpDzLyFjcboCoNAdKr6,2EpDzLyFjcboCoNAdKr6,,com.whatsapp,"0|com.whatsapp|1|KGdHQNgfIZil8OrU9uDZWqaDPWJA/JuHxNdzcj/Bb44=
|103301732838740305",,,,Thank you dear😘,Kaksha Mom,20,"{""normalized"":0.7956018518518518,""epoch_time"":1732838740305,""day"":4}",,11/28/2024 19:05,11/28/2024 19:05
projects/activitycollector/databases/(default)/documents/notifications/2FO3AiLkPQ00wFXjhKNH,2FO3AiLkPQ00wFXjhKNH,"{""activity"":""NOT_DETECTED""}",com.whatsapp,"0|com.whatsapp|1|ioeHuX3mTFHAs+PLgZkdOIg8gL2zy9ddTOcEbze4nQk=
|103301732819302042",5,"{""normalized"":0.5708564814814815,""epoch_time"":1732819322010,""day"":4}","{""readable"":""UNKNOWN"",""long"":-73.1063765,""lat"":40.9082644}",Happy Thanksgiving,Fake G1103: Sethu SBU,11,"{""normalized"":0.570625,""epoch_time"":1732819302042,""day"":4}",12,11/28/2024 13:41,11/28/2024 13:42
projects/activitycollector/databases/(default)/documents/notifications/2KHjD0kUDHt8OtM4NYf1,2KHjD0kUDHt8OtM4NYf1,"{""activity"":""NOT_DETECTED""}",com.whatsapp,"0|com.whatsapp|1|rG/eeeHA9Hn1HLbSmtjPi3+89k+wc59UT36v/tkRMAc=
|103301733006420825",18,"{""normalized"":0.7363888888888889,""epoch_time"":1733006424037,""day"":6}","{""readable"":""UNKNOWN"",""long"":-73.08904,""lat"":40.9139469}",like really good hahaha,Lavanya,21,"{""normalized"":0.7363425925925926,""epoch_time"":1733006420825,""day"":6}",12,11/30/2024 17:40,11/30/2024 17:40
projects/activitycollector/databases/(default)/documents/notifications/2MIavTz28zf7DOv776sp,2MIavTz28zf7DOv776sp,"{""activity"":""NOT_DETECTED""}",com.whatsapp,"0|com.whatsapp|1|1FYPaSIKbRGo3es8aDHCj/qbEGhWA5czZiWg26AOuvM=
|103301733032098609",20,"{""normalized"":0.033715277777777775,""epoch_time"":1733032113659,""day"":7}","{""readable"":""HOME"",""long"":-73.1101663,""lat"":40.9065328}",back pain not included,Chapin Bazaar 2 (3 messages): ~ Rajath,26,"{""normalized"":0.033541666666666664,""epoch_time"":1733032098609,""day"":7}",12,12/01/2024 00:48,12/01/2024 00:48
projects/activitycollector/databases/(default)/documents/notifications/2Nr2dWbVMmejmNXATbW8,2Nr2dWbVMmejmNXATbW8,"{""activity"":""NOT_DETECTED""}",com.whatsapp,"0|com.whatsapp|1|Lv0fKbA8pdbvlISllWPHcwA1qYt4B6X4muMJhx//fh4=
|103301733002839252",18,"{""normalized"":0.7002662037037037,""epoch_time"":1733003303204,""day"":6}","{""readable"":""HOME"",""long"":-73.1101583,""lat"":40.906589}",,Stony Brook SUNY: ~ NA,23,"{""normalized"":0.6948958333333334,""epoch_time"":1733002839252,""day"":6}",12,11/30/2024 16:40,11/30/2024 16:48
projects/activitycollector/databases/(default)/documents/notifications/2PRX00jpV4wZHcnswsM1,2PRX00jpV4wZHcnswsM1,"{""activity"":""NOT_DETECTED""}",com.whatsapp,"0|com.whatsapp|1|rG/eeeHA9Hn1HLbSmtjPi3+89k+wc59UT36v/tkRMAc=
|103301732942839666",19,"{""normalized"":0.03383101851851852,""epoch_time"":1732945723465,""day"":6}","{""readable"":""LIBRARY"",""long"":-73.1161167,""lat"":40.9091843}",yeah the albums really good,Lavanya,15,"{""normalized"":0.00045138888888888887,""epoch_time"":1732942839666,""day"":6}",8,11/30/2024 00:00,11/30/2024 00:48
projects/activitycollector/databases/(default)/documents/notifications/2TyeapEg2gLTSkTTOYOw,2TyeapEg2gLTSkTTOYOw,,com.whatsapp,"0|com.whatsapp|1|8NdTzvpte425WtFlMVsjRRl2n15NsIuu8bU5onvotbU=
|103301732995050938",,,,https://oldnavy.gap.com/browse/product.do?pid=477924012&cid=1031099&pcid=1031099&vid=1&nav=hamnav%3AMen%3ADeals%3ACyber+Deal+%2B+Extra+20%25+Off+%24100%2B&cpos=45&cexp=2926&kcid=CategoryIDs%3D1031099&ctype=Listing&cpid=res24113011823183930396653#pdp-page-content,Kaksha,22,"{""normalized"":0.6047453703703703,""epoch_time"":1732995050938,""day"":6}",,11/30/2024 14:30,11/30/2024 14:30
projects/activitycollector/databases/(default)/documents/notifications/2UN7mIwpC6zsMeCTdRsX,2UN7mIwpC6zsMeCTdRsX,"{""activity"":""NOT_DETECTED""}",com.whatsapp,"0|com.whatsapp|1|j0kxU7R7uqDMMQBiRwTuKMu9n9qGfn01XPLns0jGfqs=
|103301732946166712",13,"{""normalized"":0.039282407407407405,""epoch_time"":1732946194534,""day"":6}","{""readable"":""LIBRARY"",""long"":-73.1164114,""lat"":40.9092128}",Ok ok,Karan Sbu,16,"{""normalized"":0.03895833333333333,""epoch_time"":1732946166712,""day"":6}",12,11/30/2024 00:56,11/30/2024 00:56
projects/activitycollector/databases/(default)/documents/notifications/2Z0pyVn0YthdxsHRUUkX,2Z0pyVn0YthdxsHRUUkX,"{""activity"":""NOT_DETECTED""}",com.whatsapp,"0|com.whatsapp|1|bu9+jt2wbtN42BAnXlDrRQczPz7D7ciDsvjtjg5e9D0=
|103301732824357546",7,"{""normalized"":0.6294675925925926,""epoch_time"":1732824386282,""day"":4}","{""readable"":""HOME"",""long"":-73.1101583,""lat"":40.9065647}",https://doordash.com/convenience/product?attr_src=item&is_menu_bundling_search_context=false&flow_type=editOrderCart&store_id=23045275&product_id=6153265969&show_store_header=true&should_navigate_to_store=true&from_in_app_share=true,Ojas Deshpande SBU,12,"{""normalized"":0.6291319444444444,""epoch_time"":1732824357546,""day"":4}",12,11/28/2024 15:05,11/28/2024 15:06
