document path,document ID,activity,app name,id,interaction active notifications,interaction time,location,notification content,notification title,posted active notifications,posted time,reason number,created time,updated time
projects/activitycollector/databases/(default)/documents/notifications/uvTk1k157kFPifTN8oue,uvTk1k157kFPifTN8oue,"{""activity"":""NOT_DETECTED""}",com.whatsapp,"0|com.whatsapp|1|6oopRIu2ypLM5FXgaKYJpWgytRXx9My0HDf51lO0p50=
|103301732824357556",7,"{""normalized"":0.6294675925925926,""epoch_time"":1732824386293,""day"":4}","{""readable"":""HOME"",""long"":-73.1101583,""lat"":40.9065647}","Does anyone have kitchen foil that I can borrow some of? 

Will pay for it",Chapin Bazaar: ~ 光る 北極星,12,"{""normalized"":0.6291319444444444,""epoch_time"":1732824357556,""day"":4}",12,11/28/2024 15:05,11/28/2024 15:06
projects/activitycollector/databases/(default)/documents/notifications/uyVFY8v2KB0DG1ekbwu1,uyVFY8v2KB0DG1ekbwu1,"{""activity"":""NOT_DETECTED""}",com.whatsapp,"0|com.whatsapp|1|8NdTzvpte425WtFlMVsjRRl2n15NsIuu8bU5onvotbU=
|103301732995551316",15,"{""normalized"":0.6105555555555555,""epoch_time"":1732995552391,""day"":6}","{""readable"":""HOME"",""long"":-73.1101021,""lat"":40.9065956}",https://www2.hm.com/en_us/productpage.1235678002.html,Kaksha,22,"{""normalized"":0.6105439814814815,""epoch_time"":1732995551316,""day"":6}",12,11/30/2024 14:39,11/30/2024 14:39
projects/activitycollector/databases/(default)/documents/notifications/uzQC7aiwfYMtngqNsKUB,uzQC7aiwfYMtngqNsKUB,"{""activity"":""NOT_DETECTED""}",com.whatsapp,"0|com.whatsapp|1|6oopRIu2ypLM5FXgaKYJpWgytRXx9My0HDf51lO0p50=
|103301732993176036",17,"{""normalized"":0.5830787037037037,""epoch_time"":1732993178550,""day"":6}","{""readable"":""UNKNOWN"",""long"":-73.1115403,""lat"":40.8887716}",📷 Photo,Chapin Bazaar (8 messages): ~ Sanjay,23,"{""normalized"":0.5830555555555555,""epoch_time"":1732993176036,""day"":6}",12,11/30/2024 13:59,11/30/2024 13:59
projects/activitycollector/databases/(default)/documents/notifications/vDMxHwpWrxXo569c270x,vDMxHwpWrxXo569c270x,"{""activity"":""NOT_DETECTED""}",com.whatsapp,"0|com.whatsapp|1|LBPUKhh+tse7R4wiNkpNHfRqL0ah01J4ncG7XmLMANg=
|103301732848922890",19,"{""normalized"":0.9144675925925926,""epoch_time"":1732849010693,""day"":4}","{""readable"":""HOME"",""long"":-73.1101236,""lat"":40.9065611}",Do anyone has weighing scale for luggage?,General Chat Group (3 messages): ~ Yoggessh Kakaade,24,"{""normalized"":0.913449074074074,""epoch_time"":1732848922890,""day"":4}",12,11/28/2024 21:55,11/28/2024 21:56
projects/activitycollector/databases/(default)/documents/notifications/vJxIacDGB2KFBUjOSY1s,vJxIacDGB2KFBUjOSY1s,"{""activity"":""NOT_DETECTED""}",com.whatsapp,"0|com.whatsapp|1|BSASOmcwFDT1xmf1cNJB0foEQ4lcNwn16V6352qYja0=
|103301732932726132",11,"{""normalized"":0.8837731481481481,""epoch_time"":1732932758046,""day"":5}","{""readable"":""HOME"",""long"":-73.1100124,""lat"":40.9066409}",yes,Akshat Sharma SBU,13,"{""normalized"":0.8834027777777778,""epoch_time"":1732932726132,""day"":5}",12,11/29/2024 21:12,11/29/2024 21:12
projects/activitycollector/databases/(default)/documents/notifications/vKddXSZ5BMTtMqEXQLn8,vKddXSZ5BMTtMqEXQLn8,"{""activity"":""NOT_DETECTED""}",com.whatsapp,"0|com.whatsapp|1|1FYPaSIKbRGo3es8aDHCj/qbEGhWA5czZiWg26AOuvM=
|103301733031883367",20,"{""normalized"":0.03207175925925926,""epoch_time"":1733031971011,""day"":7}","{""readable"":""HOME"",""long"":-73.1101663,""lat"":40.9065328}",done,Chapin Bazaar 2 (2 messages): ~ Bandham,27,"{""normalized"":0.031053240740740742,""epoch_time"":1733031883367,""day"":7}",12,12/01/2024 00:44,12/01/2024 00:46
projects/activitycollector/databases/(default)/documents/notifications/vUUd8oBjq2sEzUEFKz3n,vUUd8oBjq2sEzUEFKz3n,"{""activity"":""NOT_DETECTED""}",com.whatsapp,"0|com.whatsapp|1|KGdHQNgfIZil8OrU9uDZWqaDPWJA/JuHxNdzcj/Bb44=
|103301732827762760",15,"{""normalized"":0.6688425925925926,""epoch_time"":1732827788775,""day"":4}","{""readable"":""HOME"",""long"":-73.1101046,""lat"":40.9065801}",Thank you dear😘,Kaksha Mom,18,"{""normalized"":0.6685416666666667,""epoch_time"":1732827762760,""day"":4}",12,11/28/2024 16:02,11/28/2024 16:03
projects/activitycollector/databases/(default)/documents/notifications/vYC6iLmx96N2kXPvKbwN,vYC6iLmx96N2kXPvKbwN,,com.google.android.gm,0|com.google.android.gm|369416808|gig:743423040:^sq_ig_i_personal|102761732828031442,,,,,Steam Support,19,"{""normalized"":0.6716550925925926,""epoch_time"":1732828031442,""day"":4}",,11/28/2024 16:07,11/28/2024 16:07
projects/activitycollector/databases/(default)/documents/notifications/vZmSpSJ1SdV7uN1r4LP5,vZmSpSJ1SdV7uN1r4LP5,"{""activity"":""NOT_DETECTED""}",com.whatsapp,"0|com.whatsapp|1|Zh1ozrTVXTqQ47535XiDJ80QsHMDGR3c0uFj5yQlFYI=
|103301733007640403",18,"{""normalized"":0.7507060185185185,""epoch_time"":1733007661949,""day"":6}","{""readable"":""HOME"",""long"":-73.1101792,""lat"":40.9065569}","Wordle 1,260 5/6

⬛⬛⬛🟨⬛
⬛⬛🟨⬛⬛
⬛⬛🟨🟨⬛
⬛⬛🟨🟩🟨
🟩🟩🟩🟩🟩",SBU Summer: Akshat Sharma SBU,23,"{""normalized"":0.750462962962963,""epoch_time"":1733007640403,""day"":6}",12,11/30/2024 18:00,11/30/2024 18:01
projects/activitycollector/databases/(default)/documents/notifications/vb3sccKiCvmQ1jopJv6F,vb3sccKiCvmQ1jopJv6F,"{""activity"":""NOT_DETECTED""}",com.whatsapp,"0|com.whatsapp|1|Lv0fKbA8pdbvlISllWPHcwA1qYt4B6X4muMJhx//fh4=
|103301733081854639",30,"{""normalized"":0.6167708333333334,""epoch_time"":1733082489973,""day"":7}","{""readable"":""HOME"",""long"":-73.1101242,""lat"":40.9066341}","Hello everyone,

Your voice matters! 🗣️

Please take a moment to fill out the GSO Member Feedback and Participation Survey: https://forms.gle/cfWgxAFNN1KLNZJL7.

This is your opportunity to share your thoughts, experiences, and suggestions. Your feedback is the only way for us to truly understand your concerns, represent them effectively, and prioritize the changes that matter most to you.

The insights you provide will help us enhance our events, services, and overall support for the graduate community at SBU. Together, we can make a difference!

Thank you in advance for your valuable input. 🙌

Survey Link: https://forms.gle/cfWgxAFNN1KLNZJL7

Best regards,
GSO",Stony Brook SUNY (2 messages): ~ NA,33,"{""normalized"":0.6094212962962963,""epoch_time"":1733081854639,""day"":7}",12,12/01/2024 14:37,12/01/2024 14:48
projects/activitycollector/databases/(default)/documents/notifications/vbxkFxpYJIlq85qi7IQA,vbxkFxpYJIlq85qi7IQA,"{""activity"":""NOT_DETECTED""}",com.whatsapp,"0|com.whatsapp|1|1FYPaSIKbRGo3es8aDHCj/qbEGhWA5czZiWg26AOuvM=
|103301732942839876",13,"{""normalized"":0.03875,""epoch_time"":1732946148292,""day"":6}","{""readable"":""LIBRARY"",""long"":-73.1164114,""lat"":40.9092128}",Vape ?🥹,Chapin Bazaar 2 (2 messages): ~ Prakash Upadhyay,19,"{""normalized"":0.00045138888888888887,""epoch_time"":1732942839876,""day"":6}",12,11/30/2024 00:00,11/30/2024 00:55
projects/activitycollector/databases/(default)/documents/notifications/vdQ3MxoL6c0ZRauOxBg2,vdQ3MxoL6c0ZRauOxBg2,"{""activity"":""NOT_DETECTED""}",com.whatsapp,"0|com.whatsapp|1|Lv0fKbA8pdbvlISllWPHcwA1qYt4B6X4muMJhx//fh4=
|103301733069508491",30,"{""normalized"":0.5442361111111111,""epoch_time"":1733076222721,""day"":7}","{""readable"":""HOME"",""long"":-73.110456,""lat"":40.906428}","Hello everyone,

Your voice matters! 🗣️

Please take a moment to fill out the GSO Member Feedback and Participation Survey: https://forms.gle/cfWgxAFNN1KLNZJL7.

This is your opportunity to share your thoughts, experiences, and suggestions. Your feedback is the only way for us to truly understand your concerns, represent them effectively, and prioritize the changes that matter most to you.

The insights you provide will help us enhance our events, services, and overall support for the graduate community at SBU. Together, we can make a difference!

Thank you in advance for your valuable input. 🙌

Survey Link: https://forms.gle/cfWgxAFNN1KLNZJL7

Best regards,
GSO",Stony Brook SUNY (2 messages): ~ NA,35,"{""normalized"":0.46652777777777776,""epoch_time"":1733069508491,""day"":7}",12,12/01/2024 11:11,12/01/2024 13:03
projects/activitycollector/databases/(default)/documents/notifications/vhP9qE1pvvC0jIA4JlYC,vhP9qE1pvvC0jIA4JlYC,"{""activity"":""NOT_DETECTED""}",com.whatsapp,"0|com.whatsapp|1|rG/eeeHA9Hn1HLbSmtjPi3+89k+wc59UT36v/tkRMAc=
|103301733093065576",30,"{""normalized"":0.7396296296296296,""epoch_time"":1733093104951,""day"":7}","{""readable"":""UNKNOWN"",""long"":-73.110065,""lat"":40.9072835}",when do you start work?,Lavanya,37,"{""normalized"":0.7391782407407408,""epoch_time"":1733093065576,""day"":7}",12,12/01/2024 17:44,12/01/2024 17:45
projects/activitycollector/databases/(default)/documents/notifications/vicFhSAodGmBjIW6iME8,vicFhSAodGmBjIW6iME8,"{""activity"":""NOT_DETECTED""}",com.whatsapp,"0|com.whatsapp|1|LBPUKhh+tse7R4wiNkpNHfRqL0ah01J4ncG7XmLMANg=
|103301733025466484",21,"{""normalized"":0.9788310185185185,""epoch_time"":1733027371060,""day"":6}","{""readable"":""HOME"",""long"":-73.1101288,""lat"":40.9065661}","Anyone looking for graduation photoshoot, please DM for price and other details.",General Chat Group (5 messages): ~ Div,25,"{""normalized"":0.9567824074074074,""epoch_time"":1733025466484,""day"":6}",12,11/30/2024 22:57,11/30/2024 23:29
projects/activitycollector/databases/(default)/documents/notifications/viw91XzrYVMjKyG2aclO,viw91XzrYVMjKyG2aclO,,com.whatsapp,"0|com.whatsapp|1|ioeHuX3mTFHAs+PLgZkdOIg8gL2zy9ddTOcEbze4nQk=
|103301733076931650",,,,Cool,Fake G1103 (3 messages): Rishabh Tamhane SBU,37,"{""normalized"":0.5524421296296296,""epoch_time"":1733076931650,""day"":7}",,12/01/2024 13:15,12/01/2024 13:15
projects/activitycollector/databases/(default)/documents/notifications/vqzCPKdU7ERpxIJcqxhu,vqzCPKdU7ERpxIJcqxhu,,com.whatsapp,"0|com.whatsapp|1|6oopRIu2ypLM5FXgaKYJpWgytRXx9My0HDf51lO0p50=
|103301733017313187",,,,"📷 Selling each for $1
Total $3",Chapin Bazaar (6 messages): ~ Harshil Sanghvi,24,"{""normalized"":0.8624189814814814,""epoch_time"":1733017313187,""day"":6}",,11/30/2024 20:41,11/30/2024 20:41
projects/activitycollector/databases/(default)/documents/notifications/vsYpRiaZjj1pPNlDIAlH,vsYpRiaZjj1pPNlDIAlH,"{""activity"":""NOT_DETECTED""}",com.whatsapp,"0|com.whatsapp|1|LBPUKhh+tse7R4wiNkpNHfRqL0ah01J4ncG7XmLMANg=
|103301733000539158",16,"{""normalized"":0.6732291666666667,""epoch_time"":1733000967779,""day"":6}","{""readable"":""UNKNOWN"",""long"":-73.0901466,""lat"":40.9104293}","Anyone looking for graduation photoshoot, please DM for price and other details.",General Chat Group (5 messages): ~ Div,21,"{""normalized"":0.6682754629629629,""epoch_time"":1733000539158,""day"":6}",12,11/30/2024 16:02,11/30/2024 16:09
